数据集类型,表名,列名,数据类型,总行数,非空计数,缺失计数,缺失率,唯一值数,唯一值率,是否日期,日期范围,可能主键,可能外键,示例值
main,olist_customers_dataset,customer_id,str,99441,99441,0,0.00%,99441,100.00%,False,,True,True,"['06b8999e2fba1a1fbc88172c00ba8bc7', '18955e83d337fd6b2def6b18a428ac77', '4e7b3e00288586ebd08712fdd0374a03']"
main,olist_customers_dataset,customer_unique_id,str,99441,99441,0,0.00%,96096,96.64%,False,,False,True,"['861eff4711a542e4b93843c6dd7febb0', '290c77bc529b7ac935b93aa66c333dc3', '060e732b5b29e8181a18229c7b0b2b5e']"
main,olist_customers_dataset,customer_zip_code_prefix,int64,99441,99441,0,0.00%,14994,15.08%,True,1970-01-01 00:00:00.000001003 到 1970-01-01 00:00:00.000099990,False,False,"[14409, 9790, 1151]"
main,olist_customers_dataset,customer_city,str,99441,99441,0,0.00%,4119,4.14%,False,,False,False,"['franca', 'sao bernardo do campo', 'sao paulo']"
main,olist_customers_dataset,customer_state,str,99441,99441,0,0.00%,27,0.03%,False,,False,False,"['SP', 'SP', 'SP']"
main,olist_geolocation_dataset,geolocation_zip_code_prefix,int64,1000163,1000163,0,0.00%,19015,1.90%,True,1970-01-01 00:00:00.000001001 到 1970-01-01 00:00:00.000099990,False,False,"[1037, 1046, 1046]"
main,olist_geolocation_dataset,geolocation_lat,float64,1000163,1000163,0,0.00%,717360,71.72%,True,1969-12-31 23:59:59.999999964 到 1970-01-01 00:00:00.000000045,False,False,"[-23.54562128115268, -23.54608112703553, -23.54612896641469]"
main,olist_geolocation_dataset,geolocation_lng,float64,1000163,1000163,0,0.00%,717613,71.75%,True,1969-12-31 23:59:59.999999899 到 1970-01-01 00:00:00.000000121,False,False,"[-46.63929204800168, -46.64482029837157, -46.64295148361138]"
main,olist_geolocation_dataset,geolocation_city,str,1000163,1000163,0,0.00%,8011,0.80%,False,,False,False,"['sao paulo', 'sao paulo', 'sao paulo']"
main,olist_geolocation_dataset,geolocation_state,str,1000163,1000163,0,0.00%,27,0.00%,False,,False,False,"['SP', 'SP', 'SP']"
