seller_id,origin,lead_type,business_segment,order_count,gmv,avg_review_score,avg_order_value,delivery_rate
7d13fca15225358621be4086e1eb0964,unknown,online_big,watches,565,122261.02,4.0,216.39,98.76
ba90964cff9b9e0e6f32b23b82465f7b,organic_search,,small_appliances,38,45523.5,4.42,1197.99,100.0
c70c1b0d8ca86052f45a432a38b73958,paid_search,online_medium,health_beauty,261,40476.28,4.3,155.08,99.62
612170e34b97004b3ba37eae81836b4c,organic_search,online_big,home_appliances,107,25372.08,4.43,237.12,100.0
6061155addc1e54b4cfb51c1c2a32ad8,organic_search,online_small,pet,28,16513.31,4.7,589.76,100.0
70c27847eca8195c983ed7e798c56743,social,online_small,pet,77,13529.18,4.2,175.7,100.0
c510bc1718f0f2961eaa42a23330681a,unknown,online_big,baby,13,13211.87,4.0,1016.3,92.31
8a432f4e5b471f8da497d7dc517666e2,organic_search,online_big,bed_bath_table,95,9520.11,4.2,100.21,100.0
4bfc7a4a1cf8d4d2121c27422d9e50b5,paid_search,online_big,home_decor,26,9191.59,4.22,353.52,100.0
cc63f0dd2acba93ffed4fe9f8e0321fa,social,online_beginner,home_office_furniture,55,8496.68,4.05,154.49,100.0
dbdd0ec73a4817971d962698f2fea022,direct_traffic,online_big,health_beauty,16,8174.8,4.38,510.92,100.0
8476243f92442881ddd5b578975cf115,unknown,online_big,audio_video_electronics,12,8113.03,4.08,676.09,100.0
516e7738bd8f735ac19a010ee5450d8d,paid_search,online_small,health_beauty,76,8109.32,4.55,106.7,97.37
58f1a6197ed863543e0136bdedb3fce2,paid_search,online_medium,fashion_accessories,44,7903.6900000000005,4.16,179.63,100.0
ade45994b717ccee333492330fbf037b,social,online_big,audio_video_electronics,10,7479.63,4.5,747.96,100.0
ba143b05f0110f0dc71ad71b4466ce92,paid_search,online_big,books,85,7453.59,4.42,87.69,97.65
5670f4db5b62c43d542e1b2d56b0cf7c,paid_search,online_big,health_beauty,22,7212.650000000001,4.41,327.85,100.0
02f623a8eb246f3c5f7c2f96462654e6,organic_search,online_medium,sports_leisure,44,7207.63,4.56,163.81,100.0
33dd941c27854f7625b968cc6195a552,email,online_medium,household_utilities,5,7168.41,4.4,1433.68,100.0
a63bfbaa882c8f4542891b4e2246cc7f,referral,online_big,health_beauty,7,7036.19,4.43,1005.17,85.71
