business_segment,num_sellers,total_orders,avg_orders_per_seller,total_gmv,avg_gmv_per_seller,avg_review_score,avg_order_value
watches,8,580,72.5,126204.31,15775.54,3.04,239.31
health_beauty,93,705,7.58,105026.77,1129.32,4.51,133.97
household_utilities,71,502,7.07,63119.26,889.0,4.43,194.49
audio_video_electronics,64,249,3.89,56900.89,889.08,4.04,265.08
home_decor,105,361,3.44,54304.49,517.19,4.1,192.25
small_appliances,12,68,5.67,49500.7,4125.06,4.61,398.87
pet,30,247,8.23,45894.06,1529.8,4.35,172.65
construction_tools_house_garden,69,271,3.93,41045.15,594.86,4.3,297.43
car_accessories,77,148,1.92,34072.06,442.49,3.95,351.14
home_appliances,7,135,19.29,29119.3,4159.9,4.04,210.11
sports_leisure,25,167,6.68,19287.15,771.49,4.59,166.39
bed_bath_table,22,166,7.55,19254.37,875.2,4.13,127.87
baby,10,41,4.1,17851.4,1785.14,4.42,303.64
bags_backpacks,22,135,6.14,17224.15,782.92,4.61,134.8
computers,34,106,3.12,14138.75,415.85,4.43,135.4
food_supplement,28,86,3.07,12566.23,448.79,4.28,166.25
home_office_furniture,14,73,5.21,12169.6,869.26,3.47,188.78
fashion_accessories,19,57,3.0,9121.39,480.07,4.46,104.48
stationery,13,56,4.31,9027.73,694.44,4.31,141.42
books,9,104,11.56,8764.58,973.84,4.34,66.84
toys,20,115,5.75,7607.99,380.4,4.04,91.58
music_instruments,9,24,2.67,6435.21,715.02,4.23,378.26
phone_mobile,13,53,4.08,5730.33,440.79,3.25,146.87
food_drink,26,41,1.58,4984.7,191.72,4.43,113.2
air_conditioning,3,4,1.33,2783.94,927.98,5.0,1182.44
gifts,5,8,1.6,1243.25,248.65,4.11,229.65
handcrafted,12,10,0.83,1061.73,88.48,5.0,102.56
games_consoles,2,3,1.5,945.43,472.72,3.75,315.14
party,5,3,0.6,430.71,86.14,4.33,143.57
other,3,0,0.0,0.0,0.0,,
perfume,2,0,0.0,0.0,0.0,,
religious,1,0,0.0,0.0,0.0,,
jewerly,8,0,0.0,0.0,0.0,,
