State,Orders,Avg_Delivery_Days,Avg_Delay_Days,Avg_Score,Avg_Freight,Late_Rate%
SP,40501,8.761385996084925,-10.380349671144696,4.245971246244382,17.334633465840348,5.893681637490433
RJ,12350,15.30943754217274,-11.054734766269306,3.965277209073786,23.947404048582996,13.473684210526315
MG,11354,12.008665646060452,-12.539233555518042,4.19246787771378,23.46396336093007,5.61035758323058
RS,5345,15.300276192406853,-13.208488747331726,4.18490707715412,24.803614593077643,7.14686623012161
PR,4923,11.991582227413277,-12.61967811472604,4.240204081632653,23.490816575258986,4.996953077391835
SC,3546,14.954782876767771,-10.801736195974598,4.133560670645069,24.84930908065426,9.75747320924986
BA,3256,19.335465824489262,-10.099072598877285,3.9296995973985753,29.96120085995086,14.035626535626536
DF,2080,12.96756810897436,-11.339524695067663,4.131400966183575,23.85814423076923,7.0673076923076925
ES,1995,15.789307110368513,-9.797108894922491,4.078720162519045,24.56866165413534,12.230576441102757
GO,1957,15.606338535456764,-11.483576536743692,4.103802672147996,26.25224833929484,8.175779253960142
PE,1593,18.448322994408407,-12.60791818517356,4.082963901203294,35.833370998116756,10.797237915881984
CE,1279,21.26657863492891,-10.1100067507891,3.9442262372348784,36.49678655199374,15.32447224394058
PA,946,23.77291691136168,-13.386288478290659,3.9142550911039655,39.69659619450317,12.367864693446089
MT,886,18.05575601172561,-13.685549742391942,4.145620022753128,32.768397291196386,6.772009029345373
MA,717,21.572976474120562,-8.88784447802056,3.832865168539326,42.948633193863316,19.665271966527197
MS,701,15.618319018465684,-10.355557916600624,4.160228898426324,27.01509272467903,11.554921540656206
PB,517,20.426767609606706,-12.599502337201805,4.076171875,48.84280464216634,11.02514506769826
PI,476,19.45709826291628,-10.629538179855276,3.9936305732484074,42.97728991596638,15.966386554621847
RN,474,19.278156206047818,-12.962349073097359,4.148619957537155,39.25974683544304,10.759493670886076
AL,397,24.543855361974067,-8.032058873262432,3.8477157360406093,38.581284634760706,23.929471032745592
SE,335,21.519788280818133,-9.328641480099503,3.907185628742515,40.940119402985076,15.223880597014924
TO,274,17.65806260982698,-11.439737724722898,4.153846153846154,42.35350364963504,12.773722627737227
RO,243,19.37203651310776,-19.396826417466848,4.1652892561983474,46.43308641975309,2.880658436213992
AM,145,26.42599090038314,-18.85181696998723,4.243055555555555,37.44572413793104,4.137931034482759
AC,80,21.035712962962965,-20.077006944444445,4.0875,45.554500000000004,3.75
AP,67,27.185067716970703,-19.05942267827529,4.242424242424242,41.298507462686565,4.477611940298507
RR,41,29.387546014001806,-16.594597730352305,3.902439024390244,48.34268292682927,12.195121951219512
