Category,Orders,GMV,Avg_Price,Items_Sold,GMV_Contribution%,GMV_Cumulative%
health_beauty,8836,1258681.34,130.16353050672183,9670,9.38,9.38
watches_gifts,5624,1205005.68,201.13598397596394,5991,8.98,18.36
bed_bath_table,9417,1036988.68,93.29632748538012,11115,7.73,26.09
sports_leisure,7720,988048.97,114.34428538363615,8641,7.37,33.46
computers_accessories,6689,911954.32,116.51390315574294,7827,6.8,40.26
furniture_decor,6449,729762.49,87.56449364050876,8334,5.44,45.7
cool_stuff,3632,635290.85,167.357968914647,3796,4.74,50.44
housewares,5884,632248.66,90.78814761631247,6964,4.71,55.15
auto,3897,592720.11,139.9575230224321,4235,4.42,59.57
garden_tools,3518,485256.46,111.63019553715206,4347,3.62,63.19
toys,3886,483946.6,117.54836045664318,4117,3.61,66.8
baby,2885,411764.89,134.34417292006526,3065,3.07,69.87
perfumery,3162,399124.87,116.73731207955542,3419,2.98,72.85
telephony,4199,323667.52999999997,71.21397799779977,4545,2.41,75.26
office_furniture,1273,273960.7,162.0110585452395,1691,2.04,77.3
stationery,2311,230943.23,91.75336909018674,2517,1.72,79.02
computers,181,222963.13,1098.3405418719212,203,1.66,80.68
pet_shop,1710,214315.41,110.0746841294299,1947,1.6,82.28
musical_instruments,628,191498.88,281.616,680,1.43,83.71
small_appliances,630,190648.58,280.7784683357879,679,1.42,85.13
